계약일,자치구명,법정동명,건물명,물건금액(만원),평,평당금액(만원),층,건축년도,건물연령
2026-01-02,중랑구,신내동,진로아파트,88000,30.81344344616874,2855.896328293736,12.0,1995.0,31.0
2026-01-02,관악구,봉천동,관악드림(동아),115000,34.71276885379799,3312.9019607843134,12.0,2003.0,23.0
2026-01-03,강동구,천호동,우성,121000,25.691986568654148,4709.639703285057,6.0,1985.0,41.0
2026-01-03,은평구,증산동,DMC우방,92500,25.710137036028677,3597.8026826685496,5.0,2000.0,26.0
2026-01-03,강동구,길동,강동LG자이,170000,44.520071391838336,3818.502412176395,9.0,2003.0,23.0
2026-01-03,강남구,자곡동,강남자곡 힐스테이트,144500,18.129291829264606,7970.526447522108,10.0,2015.0,11.0
2026-01-03,강남구,자곡동,강남브리즈힐,122000,22.397676740176063,5446.993517017827,10.0,2014.0,12.0
2026-01-03,강남구,세곡동,강남데시앙파크,179000,34.69461838642345,5159.301595605545,5.0,2011.0,15.0
2026-01-03,관악구,봉천동,e편한세상서울대입구1단지,147000,25.704086880237167,5718.934918206425,8.0,2019.0,7.0
2026-01-03,강동구,천호동,우성,120000,25.691986568654148,4670.717061109148,8.0,1985.0,41.0
2026-01-03,은평구,증산동,DMC센트럴자이(2단지),143000,18.14139214084763,7882.526263131565,13.0,2023.0,3.0
2026-01-03,영등포구,신길동,삼성래미안,111000,25.68593641286263,4321.430926863738,13.0,2001.0,25.0
2026-01-03,강북구,미아동,삼성래미안트리베라2단지,114000,34.45261215476299,3308.8927912898407,13.0,2010.0,16.0
2026-01-03,강북구,미아동,삼성래미안트리베라2단지,82000,17.947787155519254,4568.808360020226,2.0,2010.0,16.0
2026-01-03,강서구,등촌동,부영,97000,24.3942281513749,3976.350446428571,4.0,1994.0,32.0
2026-01-03,양천구,목동,부영2,165000,24.106845751278097,6844.528799096498,7.0,2000.0,26.0
2026-01-03,도봉구,창동,북한산아이파크5차,90000,25.547085337447438,3522.9067743425185,20.0,2004.0,22.0
2026-01-03,도봉구,창동,삼성래미안,79000,22.36137580542699,3532.8774350649346,9.0,1992.0,34.0
2026-01-03,도봉구,창동,북한산한신휴플러스,89500,34.653174819251596,2582.7359388230775,5.0,2007.0,19.0
2026-01-03,동작구,노량진동,우성,141000,25.70106180234141,5486.154661016949,13.0,1997.0,29.0
2026-01-03,강동구,천호동,천호2차이룸아파트,73500,25.353177844329494,2899.0448633814576,4.0,2004.0,22.0
2026-01-03,구로구,고척동,"우성,현대아파트",65000,23.99491786913513,2708.906959152799,1.0,1987.0,39.0
2026-01-03,강동구,천호동,천호태영아파트,121700,25.676861179175365,4739.675895381715,17.0,1999.0,27.0
2026-01-03,구로구,신도림동,우성5,87000,18.123241673473093,4800.465698547821,4.0,1994.0,32.0
2026-01-03,은평구,불광동,북한산현대힐스테이트3차아파트,78000,18.138367062951872,4300.276851234156,1.0,2010.0,16.0
2026-01-03,성북구,장위동,참누리아파트,77700,25.707111958132923,3022.5098846787478,15.0,2006.0,20.0
2026-01-03,노원구,중계동,주공5,99000,23.144870980427747,4277.405567899621,15.0,1992.0,34.0
2026-01-03,노원구,중계동,주공2,36000,13.467646791904894,2673.072776280323,3.0,1992.0,34.0
2026-01-03,노원구,중계동,주공2,34700,13.467646791904894,2576.545148247978,15.0,1992.0,34.0
2026-01-03,관악구,신림동,주공1,39000,17.999213479747105,2166.7613445378147,1.0,1995.0,31.0
2026-01-03,중랑구,신내동,조호그레이스,34600,25.449980336993676,1359.5295376203496,3.0,2004.0,22.0
2026-01-03,동대문구,전농동,전농동신성미소지움,108000,16.75015881658953,6447.700059597983,17.0,2005.0,21.0
2026-01-03,강서구,방화동,장미,44500,12.08821127144024,3681.272522522522,8.0,1994.0,32.0
2026-01-03,송파구,잠실동,잠실엘스,348000,25.652660556009316,13565.844339622643,9.0,2008.0,18.0
2026-01-03,서대문구,홍제동,인왕산현대,99800,25.682911334966878,3885.8522968197876,13.0,2000.0,26.0
2026-01-03,서대문구,홍제동,인왕산현대,83000,18.129291829264606,4578.226263974637,9.0,2000.0,26.0
2026-01-03,종로구,무악동,인왕산아이파크,134000,25.670206007804705,5220.05939333946,4.0,2008.0,18.0
2026-01-03,종로구,무악동,인왕산2차아이파크,139000,25.41912454245697,5468.323654020088,9.0,2015.0,11.0
2026-01-03,중랑구,묵동,이편한세상화랑대,89000,18.136249508424843,4907.299050923223,5.0,2017.0,9.0
2026-01-03,동대문구,용두동,이편한세상청계센트럴포레,191000,33.266781619626705,5741.463126307175,6.0,2021.0,5.0
2026-01-03,강동구,길동,이편한세상강동에코포레,119000,18.14139214084763,6559.584792396197,19.0,2020.0,6.0
2026-01-03,노원구,월계동,월계센트럴아이파크,110000,25.710137036028677,4278.468055065302,11.0,2020.0,6.0
2026-01-03,강서구,내발산동,우장산힐스테이트,134000,18.14441721874338,7385.191730576859,17.0,2005.0,21.0
2026-01-03,구로구,고척동,"우성,현대아파트",64500,23.99491786913513,2688.069213313162,3.0,1987.0,39.0
2026-01-03,은평구,불광동,북한산현대힐스테이트3차아파트,87000,25.707111958132923,3384.2774770534243,4.0,2010.0,16.0
2026-01-03,동대문구,용두동,용두두산위브,128000,31.944822579181412,4006.909090909091,3.0,2009.0,17.0
2026-01-03,동작구,사당동,사당롯데캐슬골든포레,150000,18.143509695374657,8267.419177351318,11.0,2021.0,5.0
2026-01-03,양천구,신정동,신트리4,63000,14.810781377620474,4253.658088235294,8.0,2000.0,26.0
2026-01-03,마포구,서교동,에덴지우,80500,25.48325619384699,3158.936965811966,4.0,2011.0,15.0
2026-01-03,동작구,상도동,아이파크,149000,25.70106180234141,5797.425847457627,11.0,2004.0,22.0
2026-01-03,동작구,상도동,아이파크,153000,34.736969476964035,4404.529304188801,17.0,2004.0,22.0
2026-01-03,성북구,안암동1가,안암동삼성래미안,94000,25.673231085700458,3661.4012348588394,4.0,2005.0,21.0
2026-01-03,중구,신당동,약수하이츠,136000,17.433523913240766,7801.061946902655,12.0,1999.0,27.0
2026-01-03,중구,신당동,약수하이츠,150000,17.433523913240766,8604.112441436751,6.0,1999.0,27.0
2026-01-03,노원구,중계동,성원1,79000,18.074840427140998,4370.716317991632,13.0,1996.0,30.0
2026-01-03,송파구,장지동,송파파인타운9단지,164000,18.135341985056115,9043.115929941618,15.0,2007.0,19.0
2026-01-03,중랑구,묵동,신내,47000,15.055812687176696,3121.717902350814,10.0,1996.0,30.0
2026-01-03,양천구,목동,성원2,82600,23.34452612154763,3538.3027083063366,5.0,2000.0,26.0
2026-01-03,중랑구,신내동,신내6대주,51700,15.055812687176696,3433.889692585895,9.0,1996.0,30.0
2026-01-03,중랑구,망우동,신내역힐데스하임참좋은아파트,85500,25.691986568654148,3327.885906040268,5.0,2021.0,5.0
2026-01-03,동대문구,답십리동,신답경남,66000,21.877363342106058,3016.8169247787614,8.0,1991.0,35.0
2026-01-03,용산구,한강로1가,용산파크자이,263500,37.244759052545604,7074.820906432748,26.0,2005.0,21.0
2026-01-03,성동구,하왕십리동,왕십리KCC스위첸,158000,25.68200381159815,6152.167921127954,14.0,2016.0,10.0
2026-01-03,송파구,장지동,송파파인타운5단지,178000,25.691986568654148,6928.230307311903,10.0,2008.0,18.0
2026-01-03,강남구,청담동,청담대림이-편한세상,280000,29.787942039507517,9399.77658170001,6.0,2002.0,24.0
2026-01-03,은평구,진관동,우물골2단지두산위브(209~222동)BL2-8,92000,30.7136158756088,2995.414163301487,3.0,2009.0,17.0
2026-01-03,관악구,신림동,신림현대,86500,31.872220709683276,2713.9621298405464,9.0,1993.0,33.0
2026-01-03,강동구,둔촌동,신동아파밀리에,115000,17.808633572314488,6457.542041786988,5.0,2002.0,24.0
2026-01-03,동작구,본동,신동아,137000,25.549807907553618,5362.075538716553,10.0,1993.0,33.0
2026-01-03,동작구,사당동,사당휴먼시아,90000,18.138367062951872,4961.85790527018,12.0,2009.0,17.0
